Sequence,ATGNumber,position,frame
AAS52060,1.0,0.0,0.0
AAS52060,2.0,85.0,1.0
AAS52060,3.0,103.0,1.0
AAS52060,4.0,108.0,0.0
AAS52060,5.0,124.0,1.0
AAS52060,6.0,207.0,0.0
AAS52060,7.0,486.0,0.0
AAS52060,8.0,547.0,1.0
AAS52060,9.0,642.0,0.0
AAS52060,10.0,834.0,0.0
AAS52060,11.0,1284.0,0.0
AAS52060,12.0,1306.0,1.0
AAS52060,13.0,1431.0,0.0
AAS52060,14.0,1635.0,0.0
AAS52060,15.0,1890.0,0.0
AAS52112,1.0,0.0,0.0
AAS52112,2.0,22.0,1.0
AAS52112,3.0,64.0,1.0
AAS52112,4.0,100.0,1.0
AAS52112,5.0,162.0,0.0
AAS52112,6.0,165.0,0.0
AAS52112,7.0,185.0,2.0
AAS52112,8.0,234.0,0.0
AAS52112,9.0,268.0,1.0
AAS52112,10.0,358.0,1.0
AAS52112,11.0,427.0,1.0
AAS52112,12.0,719.0,2.0
AAS52112,13.0,883.0,1.0
AAS52112,14.0,1068.0,0.0
AAS52112,15.0,1123.0,1.0
AAS52112,16.0,1164.0,0.0
AAS52112,17.0,1194.0,0.0
AAS52112,18.0,1239.0,0.0
AAS52112,19.0,1531.0,1.0
AAS52112,20.0,1537.0,1.0
AAS52112,21.0,1555.0,1.0
AAS52112,22.0,1609.0,1.0
AAS52112,23.0,1638.0,0.0
AAS52112,24.0,1651.0,1.0
AAS52112,25.0,1659.0,0.0
AAS52112,26.0,1686.0,0.0
AAS52112,27.0,1703.0,2.0
AAS52072,1.0,0.0,0.0
AAS52072,2.0,37.0,1.0
AAS52072,3.0,145.0,1.0
AAS52072,4.0,306.0,0.0
AAS52072,5.0,376.0,1.0
AAS52072,6.0,435.0,0.0
AAS52072,7.0,732.0,0.0
AAS52072,8.0,933.0,0.0
AAS52264,1.0,0.0,0.0
AAS52264,2.0,147.0,0.0
AAS52264,3.0,259.0,1.0
AAS52264,4.0,645.0,0.0
AAS52264,5.0,651.0,0.0
AAS52264,6.0,746.0,2.0
AAS51938,1.0,0.0,0.0
AAS51938,2.0,127.0,1.0
AAS51938,3.0,462.0,0.0
AAS51938,4.0,669.0,0.0
AAS51938,5.0,729.0,0.0
AAS51938,6.0,753.0,0.0
AAS51938,7.0,822.0,0.0
AAS51938,8.0,1014.0,0.0
AAS51938,9.0,1077.0,0.0
AAS51938,10.0,1083.0,0.0
AAS51938,11.0,1207.0,1.0
AAS51938,12.0,1222.0,1.0
AAS51938,13.0,1258.0,1.0
AAS51938,14.0,1312.0,1.0
AAS51938,15.0,1412.0,2.0
AAS51938,16.0,1464.0,0.0
AAS51938,17.0,1555.0,1.0
AAS51938,18.0,1633.0,1.0
AAS51938,19.0,1639.0,1.0
AAS51938,20.0,1717.0,1.0
AAS51938,21.0,1810.0,1.0
AAS51938,22.0,1821.0,0.0
AAS51938,23.0,1828.0,1.0
AAS51938,24.0,1842.0,0.0
AAS51938,25.0,1866.0,0.0
AAS51938,26.0,1876.0,1.0
AAS51938,27.0,1896.0,0.0
AAS51938,28.0,1966.0,1.0
AAS51938,29.0,1978.0,1.0
AAS51938,30.0,2038.0,1.0
AAS51938,31.0,2056.0,1.0
AAS51938,32.0,2100.0,0.0
AAS51938,33.0,2227.0,1.0
AAS51938,34.0,2281.0,1.0
AAS51938,35.0,2293.0,1.0
AAS51938,36.0,2314.0,1.0
